Topic,Count,Name,Representation,KeyBERT,Representative_Docs
-1,673,-1_climatekic_the_to_of,"['climatekic', 'the', 'to', 'of', 'for', 'in', 'and', 'on', 'ckicnordic', 'is']","['climatelaunch', 'climatekic', 'blockchain', 'climatechange', 'eit_digital', 'circulareconomy', 'digieduhack', 'startups', 'ieeesmartcities', 'eitrawmaterials']","['Excited to launch DrawdownEurope April 17 in Berlin. Organized by the German Energy Agency (dena) &amp; ClimateKIC, this regional ""hub"" will be a center of Drawdown research and innovation in Europe. Learn more and register for the launch event at', 'Great discussion today at MMHSeville on the current situation, threats &amp; opportunities of the mining sector together with KlossekAndreas, Interim CEO of EITRawMaterials! Stop by our booth to learn more about our innovation &amp; education projects for the FutureOfMining ⛏', 'Interested in taking part in the DigiEduHack? Find out more about education in the digital age. Led by the ClimateKIC and coordinated by AaltoUniversity ... Let’s hack the future of education together!']"
0,2027,0_climatekic_the_to_in,"['climatekic', 'the', 'to', 'in', 'of', 'and', 'for', 'climate', 'on', 'is']","['climatekic', 'climatekicspain', 'climatelaunch', 'climatekic_uki', 'climateaction', 'climatechange', 'globalclimathon', 'climatesusanne', 'climathon', 'sustainable']","['The ClimateKIC staff team at London Climathon - all excited to see what ideas the participants come up with to take ClimateAction!', 'Members of ClimateKIC from all over Europe came in yesterday to see what the fuss is about. They got a tour of the workplace and talked to sustainablevdp leadership about the creation of the space, as well as talks from power_vault and Airex to get the startup perspective.', ""🌱EITeu ClimateKIC's GlobalClimathon is the world's largest climatechange hackathon. Now's your chance to answer the call to climateaction! Climathon enables you to work with your city on a local challenge &amp; design for a healthy future. Learn more:""]"
1,1837,1_eit_digital_the_to_eiteu,"['eit_digital', 'the', 'to', 'eiteu', 'of', 'in', 'and', 'for', 'innovation', 'eueic']","['eit_digital', 'eitdigitalaccel', 'eit', 'eitdigitalacad', 'digital', 'eitcommunity', 'eitmanufactur', 'eiturbanmob', 'innoveit', 'eithealth']","[""Today we're attending the InnovationDay18 at EIT_Digital London. Stay tuned for the latest on deep tech scale-ups and the trends in the UK digital innovation sector."", 'EIT_Digital', 'And EIT_Digital is here to help with our EITDigitalAccel and EITDigitalAcad']"
2,231,2_innoenergyeu_energy_the_in,"['innoenergyeu', 'energy', 'the', 'in', 'to', 'and', 'for', 'of', 'with', 'by']","['innoenergyeu', 'innoenergyce', 'innoenergy', 'innoenergy_s', 'innoenergyfr', 'sustainable', 'startups', 'energy', 'innovation', 'partners']","['Graduation of our InnoEnergyEU Energy for Smart Cities Master Program. Happy to be with these excellent ex-students and now energy professionals. Many thanks for the 2 years of experience and good luck for your professional life!', ""The stakeholders perspective and the future of innovation in the energy transition in one afternoon! Thanks to the participants and speakers that were part of the discussion at InnoEnergyEU Let's Talk Energy, as well as to our supporters innovationatEDP, EY_Portugal and RNAE"", 'InnoEnergyEU']"
3,227,3_eitrawmaterials_the_rawmaterials_in,"['eitrawmaterials', 'the', 'rawmaterials', 'in', 'to', 'and', 'of', 'materials', 'raw', 'for']","['eitrawmaterials', 'rawmaterials', 'rawmaterialsweek', 'rawmatcop', 'eit', 'innovation', 'materials', 'eit_food', 'partners', 'sustainable']","['We are happy to welcome over 300 participants to the EITRawMaterials session at RawMaterialsWeek! Starting with a warm welcome from our CEO, k_hanghoj and EITRawMaterials contribution to the UN Sustainable Development Goals and the industry perspective. EIPRawMaterials SDGs', 'On 6-7 March find out more about EITRawMaterials @ the Conference on Recycling &amp; RawMaterials in Berlin, Germany!', 'SAVE THE DATE Courses and webinars related to technical topics in raw materials sector and to business and innovation RawMaterials innovation training course webinar EITRawMaterials']"
